"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","We’re celebrating #MeatlessMonday at Ruby's Diner! Shooby dooby down to try our new plant-based Impossible Burger!… https://t.co/bui9D2HfSb",FALSE,1,NA,2020-02-10 21:03:11,TRUE,NA,"1226974918509768705",NA,"<a href=""http://momentfeed.com"" rel=""nofollow"">MomentFeed.</a>","RubysDiner",0,FALSE,FALSE,NA,NA
"2","Really? Joaquin, our hero, would have brought her a PB&amp;J or #Tofurkey sammy for certain. Perhaps an… https://t.co/WZVDBDBawF",FALSE,1,NA,2020-02-10 13:43:02,TRUE,NA,"1226864153706426373",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MicheleTrainer",0,FALSE,FALSE,NA,NA
"3","RT @ImpossibleFoods: What does the future of meat look like? Just ask the kids taste-testing Impossible™ in this episode of Explained on Ne…",FALSE,0,NA,2020-02-10 02:52:01,FALSE,NA,"1226700319482109952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMD1_CEO",3,TRUE,FALSE,NA,NA
"4","RT @ImpossibleFoods: What does the future of meat look like? Just ask the kids taste-testing Impossible™ in this episode of Explained on Ne…",FALSE,0,NA,2020-02-08 04:11:49,FALSE,NA,"1225995623356358656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ljhickey24",3,TRUE,FALSE,NA,NA
"5","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-08 04:11:23,FALSE,NA,"1225995517257224192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ljhickey24",39,TRUE,FALSE,NA,NA
"6","RT @ImpossibleFoods: What does the future of meat look like? Just ask the kids taste-testing Impossible™ in this episode of Explained on Ne…",FALSE,0,NA,2020-02-08 03:50:12,FALSE,NA,"1225990185629831169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IvanIvanzamora",3,TRUE,FALSE,NA,NA
"7","What does the future of meat look like? Just ask the kids taste-testing Impossible™ in this episode of Explained on… https://t.co/HcZYwo2kbq",FALSE,25,NA,2020-02-07 20:21:11,TRUE,NA,"1225877187347148800",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ImpossibleFoods",3,FALSE,FALSE,NA,NA
"8","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-07 16:44:07,FALSE,NA,"1225822558374760448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gridlink",39,TRUE,FALSE,NA,NA
"9","Brian J. Miller joins Impossible Foods as the new Chief People Officer. #ImpossibleFoods #SymphonySearch… https://t.co/NzkKY1eHTp",FALSE,0,NA,2020-02-07 14:45:09,TRUE,NA,"1225792619437068294",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Valora_21",0,FALSE,FALSE,NA,NA
"10","RT @ImpossibleFoods: There's no group selfie like a White Castle Impossible™ Slider group selfie. #ImpossibleFoods https://t.co/g0BDBi7Pl0",FALSE,0,NA,2020-02-07 11:17:08,FALSE,NA,"1225740270161088512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeansFLdreams",5,TRUE,FALSE,NA,NA
