"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","【🇺🇸Whole FoodsでBeyond Burger】

肉代替品として注目を集めているBeyond Meat社がWhole Foodsの売り場を席巻している。

Beyond Burger、植物由来の肉で出来ているハンバーグ… https://t.co/06367Qnai8",FALSE,0,NA,2020-02-11 00:33:10,TRUE,NA,"1227027762528976896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Masa_noda_",0,FALSE,FALSE,NA,NA
"2","$BYND
#BeyondMeat Stock Analysis + Price Prediction In 2020
https://t.co/Pmr73XkwiJ",FALSE,0,NA,2020-02-10 23:53:38,FALSE,NA,"1227017812951982080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRightTrader",0,FALSE,FALSE,NA,NA
"3","Beyond 2.0 Melt https://t.co/NwdOlmADR4 #vegan #beyondmeat #veganfood https://t.co/XFkXQSuoQW",FALSE,1,NA,2020-02-10 23:46:42,FALSE,NA,"1227016070541668352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ms_Vegan",0,FALSE,FALSE,NA,NA
"4","RT @JoaleneV: Even on my vegetarian days, there’s noway I’m eating #goofood. A black bean burger, yeah, but formed goo coming out of a lab—…",FALSE,0,NA,2020-02-10 23:43:54,FALSE,NA,"1227015365210800134",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SasantosAuthor",2,TRUE,FALSE,NA,NA
"5","Dunkin’ has reported a surge in sales following the addition of the @BeyondMeat Sausage Sandwich to the breakfast m… https://t.co/Rg3YqVu5YZ",FALSE,0,NA,2020-02-10 22:00:13,TRUE,NA,"1226989273301291008",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","raisevegan",0,FALSE,FALSE,NA,NA
"6","RT @gingesbecray: #GoodOmens is not just an excellent show from #Prime, it's based on (let's face it) the best book in the whole world, and…",FALSE,0,NA,2020-02-10 21:18:53,FALSE,NA,"1226978872064913408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gingesbecray",1,TRUE,FALSE,NA,NA
"7","SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their #investment in #BeyondMeat $BYND,… https://t.co/a6WcqcFyDq",FALSE,0,NA,2020-02-10 21:04:05,TRUE,NA,"1226975144410828802",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Stock_Market_Pr",0,FALSE,FALSE,NA,NA
"8","RT @jodijeannine: A NEW #Sensation ... 

Now THIS is ... #BeyondMeat ... #WorthTrying ?!?! 

🤣😂🤣😂 #BeyondMeatWorthTrying #BMWT 🤣😂🤣😂",FALSE,0,NA,2020-02-10 20:03:08,FALSE,NA,"1226959806763806721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Angellight4u",1,TRUE,FALSE,NA,NA
"9","A NEW #Sensation ... 

Now THIS is ... #BeyondMeat ... #WorthTrying ?!?! 

🤣😂🤣😂 #BeyondMeatWorthTrying #BMWT 🤣😂🤣😂 https://t.co/Wue0LQCXP5",FALSE,5,NA,2020-02-10 20:02:50,FALSE,NA,"1226959730918248449",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jodijeannine",1,FALSE,FALSE,NA,NA
"10","¡¡¡Ya llega esta semana!!! La Hamburguesa Vegana #beyondmeat mas famosa del mundo 🌍 🍔🌱  Somos únicos representantes… https://t.co/M8N1GsU6GY",FALSE,0,NA,2020-02-10 19:19:02,TRUE,NA,"1226948707129712643",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VegganVurger",0,FALSE,FALSE,NA,NA
"11","RT @gonzotrucker: #plantbased #vegan #BeyondMeat https://t.co/nBiLohnUjU",FALSE,0,NA,2020-02-10 19:10:13,FALSE,NA,"1226946490175639552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SerenityMidwest",18,TRUE,FALSE,NA,NA
"12","RT @gonzotrucker: #plantbased #vegan #BeyondMeat https://t.co/nBiLohnUjU",FALSE,0,NA,2020-02-10 19:01:19,FALSE,NA,"1226944249968680970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tlook17",18,TRUE,FALSE,NA,NA
"13","@smilenteodorov That would be cool. I made these kebabs recently using beyond meat and they were delicious.

$BYND… https://t.co/H0WpGPGUgo",FALSE,1,"smilenteodorov",2020-02-10 17:20:34,TRUE,"1226916215110524929","1226918895694446598","212879128","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iesa_Behbehani",0,FALSE,FALSE,NA,NA
"14","RT @freshdaily: People don't seem to like all the new things about Tim Hortons https://t.co/CPHVUXLSaN #Canada #TimHortons #BeyondMeat http…",FALSE,0,NA,2020-02-10 17:20:07,FALSE,NA,"1226918783354363905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SimmiSidhu12",5,TRUE,FALSE,NA,NA
"15","RT @gonzotrucker: #plantbased #vegan #BeyondMeat https://t.co/nBiLohnUjU",FALSE,0,NA,2020-02-10 16:59:19,FALSE,NA,"1226913546765819910",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AuditiesC",18,TRUE,FALSE,NA,NA
"16","RT @freshdaily: People don't seem to like all the new things about Tim Hortons https://t.co/CPHVUXLSaN #Canada #TimHortons #BeyondMeat http…",FALSE,0,NA,2020-02-10 16:57:28,FALSE,NA,"1226913083832049666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bevirli",5,TRUE,FALSE,NA,NA
"17","RT @freshdaily: People don't seem to like all the new things about Tim Hortons https://t.co/CPHVUXLSaN #Canada #TimHortons #BeyondMeat http…",FALSE,0,NA,2020-02-10 16:57:11,FALSE,NA,"1226913012495376385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blogTO",5,TRUE,FALSE,NA,NA
"18","People don't seem to like all the new things about Tim Hortons https://t.co/CPHVUXLSaN #Canada #TimHortons… https://t.co/d4SrSgIHNF",FALSE,8,NA,2020-02-10 16:56:12,TRUE,NA,"1226912762389057538",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","freshdaily",5,FALSE,FALSE,NA,NA
"19","We need more food companies shifting towards better alternatives to meat #BeyondMeat https://t.co/WVoHcGUoG6",FALSE,0,NA,2020-02-10 16:50:07,FALSE,NA,"1226911233670025218",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BreynerJimenez",0,FALSE,FALSE,NA,NA
"20","@sandro_pozzi @VoyageAdvice Claro. #ImpossibleBurguer #BeyondMeat",FALSE,0,"sandro_pozzi",2020-02-10 16:45:36,FALSE,"1226908204552146945","1226910096468389888","460517052","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ManuelAmorin",0,FALSE,FALSE,NA,NA
"21","RT @AnyBodyCanFly: #evolution #disruption #innovation 

1 Transportation #Uber
2 Entertainment #Netflix
3 Food delivery #swiggy #doordash
4…",FALSE,0,NA,2020-02-10 16:44:50,FALSE,NA,"1226909905384165376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dr_hpg",12,TRUE,FALSE,NA,NA
"22","RT @Karlanimal: @jamejame2015 @saulvilladr No saben que existen un montón de hamburguesas aptas para VEGANOS, que se ofrecen en un varias c…",FALSE,0,NA,2020-02-10 16:40:37,FALSE,NA,"1226908842019168256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MAKYPOWER",1,TRUE,FALSE,NA,NA
"23","RT @xx_melissa_: @KimKardashian showing off her beautiful #vegan refrigerator and it’s so satisfying.🥰 #ClimateChange #BeyondMeat 

https:/…",FALSE,0,NA,2020-02-10 16:16:58,FALSE,NA,"1226902891631431680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xx_melissa_",1,TRUE,FALSE,NA,NA
"24","#BeyondMeat $BYND 120.15 +3.2%   Beyond Meat tests ""fake"" fried chicken across the South   
https://t.co/7DaIaNiXmf… https://t.co/e2K67Pu5yd",FALSE,2,NA,2020-02-10 15:31:04,TRUE,NA,"1226891338269880321",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Si_Investor",0,FALSE,FALSE,NA,NA
"25","Amo ❤️ #beyondmeat #BeyondBurger #ImpossibleBurger https://t.co/AqPOvQKstN",FALSE,0,NA,2020-02-10 15:21:06,FALSE,NA,"1226888829824569344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Karlanimal",0,FALSE,FALSE,NA,NA
